@RELATION AirBnB

@ATTRIBUTE room_type STRING
@ATTRIBUTE neighborhood STRING
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction REAL
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms REAL
@ATTRIBUTE price REAL
@ATTRIBUTE latitude REAL
@ATTRIBUTE longitude REAL

@DATA
Entire home/apt,Ciutat Vella,3,5.0,4,1.0,603.0,41.379,2.175
Entire home/apt,Sants-Montjuïc,41,4.5,12,6.0,362.0,41.351,2.148
Entire home/apt,Ciutat Vella,5,3.0,8,3.0,422.0,41.377,2.176
Entire home/apt,Eixample,5,3.5,10,4.0,515.0,41.387,2.166
Entire home/apt,Eixample,12,5.0,7,4.0,391.0,41.390,2.161
Entire home/apt,Sant Martí,3,4.0,6,3.0,338.0,41.390,2.196
Entire home/apt,Eixample,16,4.5,5,3.0,362.0,41.390,2.176
Entire home/apt,Ciutat Vella,37,5.0,7,3.0,217.0,41.377,2.175
Entire home/apt,Ciutat Vella,3,3.0,8,3.0,409.0,41.377,2.176
Entire home/apt,Eixample,3,4.5,16,6.0,420.0,41.388,2.162
Entire home/apt,Eixample,24,5.0,10,5.0,489.0,41.386,2.165
Entire home/apt,Ciutat Vella,23,5.0,4,2.0,312.0,41.378,2.171
Entire home/apt,Eixample,3,5.0,6,3.0,489.0,41.384,2.162
Entire home/apt,Eixample,33,4.5,3,1.0,409.0,41.390,2.176
Entire home/apt,Sants-Montjuïc,14,4.5,9,5.0,433.0,41.373,2.168
Entire home/apt,Eixample,4,5.0,6,2.0,361.0,41.387,2.171
Entire home/apt,Eixample,4,4.5,5,3.0,390.0,41.393,2.163
Entire home/apt,Eixample,96,5.0,10,5.0,420.0,41.391,2.177
Entire home/apt,Eixample,51,5.0,8,4.0,475.0,41.393,2.170
Entire home/apt,Sant Martí,31,4.5,6,2.0,361.0,41.392,2.191
Entire home/apt,Sant Martí,20,4.0,8,3.0,324.0,41.389,2.196
Entire home/apt,Sant Martí,9,4.5,6,2.0,361.0,41.391,2.191
Entire home/apt,Eixample,96,4.0,6,4.0,361.0,41.396,2.180
Entire home/apt,Ciutat Vella,6,4.0,9,4.0,361.0,41.379,2.179
Entire home/apt,Sant Martí,20,4.5,10,6.0,451.0,41.386,2.199
Entire home/apt,Ciutat Vella,5,5.0,7,3.0,350.0,41.388,2.178
Entire home/apt,Sant Martí,22,5.0,6,3.0,343.0,41.406,2.214
Entire home/apt,Sant Martí,5,4.0,8,3.0,331.0,41.388,2.199
Entire home/apt,Ciutat Vella,16,5.0,4,2.0,337.0,41.383,2.183
Entire home/apt,Sant Martí,4,4.5,6,2.0,380.0,41.406,2.215
Entire home/apt,Sant Martí,4,4.5,8,3.0,416.0,41.404,2.212
Entire home/apt,Sant Martí,46,4.5,8,4.0,384.0,41.407,2.215
Entire home/apt,Eixample,50,4.5,13,5.0,359.0,41.385,2.162
Entire home/apt,Eixample,3,4.5,6,2.0,361.0,41.395,2.170
Entire home/apt,Ciutat Vella,31,4.5,16,5.0,493.0,41.381,2.180
Entire home/apt,Horta-Guinardó,9,4.5,7,4.0,420.0,41.426,2.166
Entire home/apt,Eixample,3,5.0,6,3.0,424.0,41.398,2.162
Entire home/apt,Sant Martí,7,4.5,8,3.0,413.0,41.405,2.213
Entire home/apt,Eixample,14,4.5,7,3.0,451.0,41.388,2.166
Entire home/apt,Eixample,8,4.5,9,3.0,457.0,41.400,2.172
Entire home/apt,Sant Martí,55,4.5,6,3.0,397.0,41.406,2.216
Entire home/apt,Ciutat Vella,26,5.0,4,2.0,372.0,41.389,2.177
Entire home/apt,Eixample,3,5.0,4,2.0,508.0,41.390,2.177
Entire home/apt,Ciutat Vella,22,5.0,6,3.0,481.0,41.383,2.180
