@RELATION AirBnB

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Sant Martí','Ciutat Vella','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction {1,2,3,4,5}
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms INTEGER
@ATTRIBUTE price INTEGER
@ATTRIBUTE latitude INTEGER
@ATTRIBUTE longitude INTEGER

@DATA
'Entire home/apt','Sarrià-Sant Gervasi',17,4,8,4,469,41,2
'Entire home/apt','Eixample',52,4,9,4,477,41,2
'Entire home/apt','Eixample',4,5,4,2,505,41,2
'Entire home/apt','Eixample',16,5,6,3,348,41,2
'Entire home/apt','Eixample',34,4,14,7,361,41,2
'Entire home/apt','Eixample',52,4,12,4,354,41,2
'Entire home/apt','Eixample',3,5,10,4,373,41,2
'Entire home/apt','Eixample',135,5,16,6,398,41,2
'Entire home/apt','Ciutat Vella',38,5,6,2,331,41,2
'Entire home/apt','Eixample',10,4,8,4,451,41,2
'Entire home/apt','Sants-Montjuïc',19,4,10,3,402,41,2
'Entire home/apt','Eixample',31,5,12,4,420,41,2
'Entire home/apt','Ciutat Vella',3,4,9,3,409,41,2
'Entire home/apt','Ciutat Vella',34,4,6,3,481,41,2
'Entire home/apt','Eixample',3,4,2,1,60,41,2
'Entire home/apt','Ciutat Vella',7,4,2,1,55,41,2
'Entire home/apt','Sarrià-Sant Gervasi',102,4,4,1,60,41,2
'Entire home/apt','Ciutat Vella',34,4,2,0,42,41,2
'Entire home/apt','Gràcia',126,4,2,1,59,41,2
'Entire home/apt','Nou Barris',16,4,2,0,57,41,2
'Entire home/apt','Les Corts',75,4,2,1,48,41,2
'Entire home/apt','Les Corts',7,5,5,1,3606,41,2
'Entire home/apt','Sant Martí',51,4,12,4,3606,41,2
'Entire home/apt','Sant Martí',5,5,8,4,1918,41,2
'Entire home/apt','Horta-Guinardó',4,5,16,8,1605,41,2
'Entire home/apt','Ciutat Vella',12,5,10,4,1443,41,2
'Entire home/apt','Ciutat Vella',11,4,16,6,1343,41,2
'Entire home/apt','Sant Martí',4,4,8,4,1082,41,2
'Entire home/apt','Eixample',48,5,6,3,1082,41,2
'Entire home/apt','Ciutat Vella',3,5,11,5,1044,41,2
'Entire home/apt','Eixample',9,5,16,10,865,41,2
'Entire home/apt','Sant Martí',11,4,8,4,721,41,2
'Entire home/apt','Sant Martí',5,5,16,6,901,41,2
'Entire home/apt','Eixample',15,5,9,4,842,41,2
'Entire home/apt','Eixample',12,4,10,5,1022,41,2
'Entire home/apt','Sant Martí',5,4,8,3,843,41,2
'Entire home/apt','Eixample',6,5,16,9,961,41,2
'Entire home/apt','Eixample',9,5,4,2,541,41,2
'Entire home/apt','Eixample',3,5,8,4,720,41,2
'Entire home/apt','Eixample',10,5,6,3,541,41,2
'Entire home/apt','Eixample',17,4,11,4,539,41,2
'Entire home/apt','Eixample',8,5,6,2,541,41,2
'Entire home/apt','Sant Martí',3,5,10,4,597,41,2
'Entire home/apt','Eixample',59,4,10,4,541,41,2
'Entire home/apt','Sant Martí',8,4,10,4,660,41,2
'Entire home/apt','Ciutat Vella',3,4,16,10,602,41,2
'Entire home/apt','Eixample',18,4,9,4,541,41,2
'Entire home/apt','Eixample',18,4,10,5,613,41,2
'Entire home/apt','Eixample',8,5,4,2,541,41,2
'Entire home/apt','Horta-Guinardó',29,5,7,4,541,41,2
'Entire home/apt','Eixample',41,5,12,5,602,41,2
'Entire home/apt','Sant Martí',3,4,6,3,602,41,2
'Entire home/apt','Sant Martí',14,5,10,5,583,41,2
'Entire home/apt','Gràcia',32,4,8,4,602,41,2
'Entire home/apt','Ciutat Vella',73,5,10,4,541,41,2
'Entire home/apt','Sant Martí',35,5,10,5,721,41,2
'Entire home/apt','Eixample',18,5,6,3,706,41,2
'Entire home/apt','Eixample',9,5,6,3,599,41,2
'Entire home/apt','Eixample',11,4,10,5,354,41,2
'Entire home/apt','Sant Martí',9,4,8,4,481,41,2
'Entire home/apt','Sants-Montjuïc',34,4,5,3,324,41,2
'Entire home/apt','Sants-Montjuïc',9,4,7,3,361,41,2
'Entire home/apt','Eixample',23,4,16,6,361,41,2
'Entire home/apt','Ciutat Vella',36,4,8,3,365,41,2
'Entire home/apt','Eixample',98,5,6,3,480,41,2
'Entire home/apt','Eixample',17,4,10,5,420,41,2
'Entire home/apt','Sant Martí',12,5,10,5,431,41,2
'Entire home/apt','Sant Martí',9,4,8,4,433,41,2
'Entire home/apt','Sant Martí',22,4,6,3,469,41,2
'Entire home/apt','Eixample',57,5,6,2,343,41,2
'Entire home/apt','Ciutat Vella',24,5,10,5,489,41,2
'Entire home/apt','Eixample',41,5,10,5,413,41,2
'Entire home/apt','Eixample',3,4,9,5,481,41,2
'Entire home/apt','Eixample',7,5,10,5,422,41,2
'Entire home/apt','Eixample',34,4,10,4,515,41,2
'Entire home/apt','Ciutat Vella',5,4,5,2,348,41,2
'Entire home/apt','Eixample',37,5,4,2,361,41,2
'Entire home/apt','Eixample',12,5,10,4,457,41,2
'Entire home/apt','Eixample',17,5,4,2,475,41,2
'Entire home/apt','Eixample',25,5,8,3,409,41,2
'Entire home/apt','Eixample',35,5,8,3,384,41,2
'Entire home/apt','Eixample',33,5,11,5,420,41,2
'Entire home/apt','Ciutat Vella',20,5,8,3,409,41,2
'Entire home/apt','Eixample',9,4,6,3,354,41,2
'Entire home/apt','Ciutat Vella',13,4,8,3,409,41,2
'Entire home/apt','Sarrià-Sant Gervasi',103,5,12,6,361,41,2
'Entire home/apt','Eixample',5,4,8,3,451,41,2
'Entire home/apt','Eixample',9,4,6,3,348,41,2
'Entire home/apt','Eixample',19,5,9,5,396,41,2
'Entire home/apt','Eixample',108,5,16,6,390,41,2
'Entire home/apt','Eixample',18,4,8,3,420,41,2
'Entire home/apt','Eixample',27,5,4,2,337,41,2
'Entire home/apt','Eixample',169,5,12,6,397,41,2
'Entire home/apt','Sarrià-Sant Gervasi',13,4,8,4,216,41,2
'Entire home/apt','Sants-Montjuïc',4,4,8,3,240,41,2
'Entire home/apt','Les Corts',10,4,8,4,265,41,2
'Entire home/apt','Sants-Montjuïc',51,4,8,3,240,41,2
'Entire home/apt','Sants-Montjuïc',21,5,6,4,249,41,2
'Entire home/apt','Sants-Montjuïc',3,4,8,4,301,41,2
'Entire home/apt','Sants-Montjuïc',3,3,8,4,301,41,2
'Entire home/apt','Sants-Montjuïc',10,4,8,4,301,41,2
'Entire home/apt','Sants-Montjuïc',8,4,4,2,222,41,2
'Entire home/apt','Sarrià-Sant Gervasi',3,4,6,4,240,41,2
'Entire home/apt','Les Corts',31,4,5,4,226,41,2
'Entire home/apt','Sarrià-Sant Gervasi',14,4,6,4,216,41,2
'Entire home/apt','Les Corts',16,4,14,5,228,41,2
'Entire home/apt','Ciutat Vella',68,4,4,2,276,41,2
'Entire home/apt','Gràcia',44,4,7,4,216,41,2
'Entire home/apt','Sants-Montjuïc',24,4,3,0,216,41,2
'Entire home/apt','Les Corts',6,5,4,3,276,41,2
'Entire home/apt','Sarrià-Sant Gervasi',23,4,6,3,259,41,2
'Entire home/apt','Les Corts',8,5,5,3,269,41,2
'Entire home/apt','Les Corts',18,4,5,3,268,41,2
'Entire home/apt','Eixample',9,5,7,3,216,41,2
'Entire home/apt','Sants-Montjuïc',14,4,10,4,216,41,2
'Entire home/apt','Sants-Montjuïc',3,4,5,3,228,41,2
'Entire home/apt','Sants-Montjuïc',6,3,10,4,305,41,2
'Entire home/apt','Sants-Montjuïc',12,4,10,3,256,41,2
'Entire home/apt','Eixample',10,4,10,5,240,41,2
'Entire home/apt','Eixample',13,5,6,3,240,41,2
'Entire home/apt','Sants-Montjuïc',75,5,3,2,216,41,2
'Entire home/apt','Sants-Montjuïc',23,4,5,2,216,41,2
'Entire home/apt','Ciutat Vella',40,4,10,4,307,41,2
'Entire home/apt','Eixample',73,4,6,3,240,41,2
'Entire home/apt','Les Corts',32,4,9,4,259,41,2
'Entire home/apt','Eixample',9,5,7,3,235,41,2
'Entire home/apt','Eixample',10,4,10,4,209,41,2
