room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Eixample,5,5.0,2,1.0,37.0,41.393206,2.171582
Private room,Gràcia,5,5.0,1,1.0,38.0,41.399482,2.160272
Private room,Eixample,19,4.5,1,1.0,35.0,41.39108,2.166434
Private room,Eixample,5,4.5,2,1.0,37.0,41.393522999999995,2.160154
Private room,Gràcia,11,5.0,1,1.0,31.0,41.39785,2.159898
Private room,Eixample,27,4.0,2,1.0,36.0,41.397216,2.1697580000000003
Private room,Eixample,9,5.0,1,1.0,18.0,41.393805,2.1800900000000003
Private room,Ciutat Vella,14,3.5,2,1.0,36.0,41.387923,2.1724810000000003
Private room,Ciutat Vella,3,4.5,2,1.0,39.0,41.388315000000006,2.177074
Private room,Eixample,18,4.5,1,1.0,30.0,41.392070000000004,2.179279
Private room,Eixample,68,4.0,3,1.0,32.0,41.398131,2.179584
Private room,Eixample,9,4.5,2,1.0,36.0,41.396834999999996,2.178664
Private room,Eixample,49,5.0,2,1.0,39.0,41.393260999999995,2.1738560000000002
Private room,Eixample,6,4.5,1,1.0,24.0,41.398025,2.176869
Private room,Eixample,3,4.5,1,1.0,30.0,41.395421,2.1763790000000003
Private room,Eixample,4,5.0,1,1.0,36.0,41.400366999999996,2.178623
Private room,Sant Martí,13,4.5,2,1.0,36.0,41.391371,2.1886419999999998
Private room,Ciutat Vella,6,5.0,1,1.0,36.0,41.388296999999994,2.1810389999999997
Private room,Eixample,18,4.0,2,1.0,29.0,41.399171,2.177493
Private room,Eixample,14,4.5,2,1.0,38.0,41.388472,2.172686
Private room,Ciutat Vella,5,5.0,2,1.0,38.0,41.388696,2.179344
Private room,Eixample,10,4.5,1,1.0,30.0,41.398893,2.182016
Private room,Ciutat Vella,21,4.5,2,2.0,38.0,41.388571999999996,2.176516
Private room,Eixample,6,4.0,1,1.0,36.0,41.396019,2.175027
Private room,Ciutat Vella,74,4.5,2,1.0,35.0,41.388469,2.17788
Private room,Eixample,3,5.0,2,1.0,41.0,41.392571999999994,2.1735830000000003
Private room,Eixample,5,5.0,3,2.0,36.0,41.398872999999995,2.1789009999999998
Private room,Ciutat Vella,63,4.5,1,1.0,24.0,41.388535,2.179025
Private room,Eixample,4,5.0,2,1.0,39.0,41.397419,2.1789509999999996
Private room,Eixample,7,4.5,2,1.0,20.0,41.398496,2.184656
Private room,Eixample,4,4.0,2,1.0,38.0,41.393359999999994,2.17381
Private room,Eixample,3,4.5,1,1.0,24.0,41.399169,2.1735330000000004
Private room,Eixample,27,4.5,1,1.0,18.0,41.39672,2.172847
Private room,Ciutat Vella,102,4.0,1,1.0,27.0,41.387582,2.17976
Private room,Eixample,36,5.0,2,1.0,38.0,41.398329,2.178425
Private room,Eixample,7,5.0,2,1.0,35.0,41.397225,2.184629
Private room,Eixample,6,4.0,2,1.0,32.0,41.389165000000006,2.174857
Private room,Eixample,3,3.5,3,1.0,30.0,41.389808,2.1768549999999998
Private room,Eixample,141,4.5,3,2.0,36.0,41.403156,2.178112
Private room,Eixample,3,4.5,2,1.0,36.0,41.396921,2.178611
Private room,Ciutat Vella,196,4.5,2,1.0,30.0,41.387714,2.176303
Private room,Eixample,6,5.0,1,1.0,39.0,41.395364,2.179799
Private room,Ciutat Vella,55,4.5,1,1.0,37.0,41.388816,2.183776
Private room,Sant Martí,10,5.0,2,1.0,39.0,41.390951,2.1844330000000003
Private room,Ciutat Vella,152,4.0,2,1.0,39.0,41.387454,2.1799779999999997
Private room,Ciutat Vella,149,4.0,2,1.0,30.0,41.388177,2.17571
Private room,Eixample,87,4.0,2,1.0,35.0,41.396702000000005,2.1810240000000003
Private room,Eixample,7,4.0,1,1.0,35.0,41.395819,2.176827
Private room,Gràcia,91,4.5,1,1.0,18.0,41.40638,2.168314
Private room,Gràcia,50,4.5,2,1.0,34.0,41.404309999999995,2.165232
Private room,Gràcia,8,5.0,2,1.0,36.0,41.402896999999996,2.160789
Private room,Gràcia,8,4.5,2,1.0,32.0,41.401916,2.16293
Private room,Eixample,6,5.0,1,1.0,28.0,41.400083,2.1716599999999997
Private room,Gràcia,79,5.0,3,1.0,36.0,41.404123,2.166178
Private room,Gràcia,20,4.0,2,1.0,28.0,41.403662,2.16427
Private room,Gràcia,4,4.0,2,1.0,30.0,41.4004,2.163919
Private room,Eixample,8,5.0,2,1.0,36.0,41.400032,2.164053
Private room,Gràcia,12,4.5,2,1.0,41.0,41.403244,2.161139
Private room,Gràcia,4,5.0,1,1.0,30.0,41.401986,2.163927
Private room,Gràcia,3,5.0,2,1.0,31.0,41.402458,2.1649130000000003
Private room,Gràcia,13,5.0,1,1.0,36.0,41.401911,2.159979
Private room,Eixample,78,4.5,1,1.0,36.0,41.401078000000005,2.170361
Private room,Gràcia,4,5.0,1,1.0,36.0,41.404232,2.170617
Private room,Gràcia,15,4.5,2,1.0,22.0,41.401733,2.162509
Private room,Gràcia,39,5.0,2,1.0,38.0,41.402721,2.159432
Private room,Gràcia,28,4.5,1,1.0,30.0,41.405334,2.1604650000000003
Private room,Gràcia,64,4.5,2,1.0,39.0,41.400715000000005,2.162357
Private room,Sant Martí,18,5.0,2,1.0,38.0,41.405269,2.194633
Private room,Sant Andreu,25,5.0,3,1.0,30.0,41.418007,2.191667
Private room,Sant Martí,4,5.0,2,1.0,37.0,41.406162,2.1926069999999998
Private room,Sant Martí,14,5.0,2,1.0,41.0,41.397927,2.194343
Private room,Sant Martí,16,4.0,2,1.0,30.0,41.394294,2.202342
Private room,Sant Martí,34,5.0,2,1.0,18.0,41.404973,2.2049279999999998
Private room,Sant Martí,4,4.5,2,1.0,34.0,41.406526,2.19195
Private room,Sant Martí,28,5.0,1,1.0,36.0,41.397646,2.207395
Private room,Sant Martí,3,3.5,1,1.0,31.0,41.418014,2.1958349999999998
Private room,Sant Martí,3,4.5,2,1.0,30.0,41.400015,2.194707
